"Cidade","População"
"Goiana","79758"
"Iguaracy","12228"
"Itambé","36447"
"Jaqueira","11656"
"Machados","16088"
"Palmares","63250"
"Passira","28933"
"Paulista","331774"
"Pedra","22617"
"Saloá","15843"
"Tabira","28534"
"Timbaúba","53022"
"Toritama","45219"
"Tracunhaém","13769"
"Tupanatinga","27304"
"Tuparetama","8202"
"Branquinha","10494"
"Coqueiro Seco","5845"
"Joaquim Gomes","23993"
"Major Isidoro","19804"
"Messias","17856"
"Teotônio Vilela","44169"
"Japaratuba","18743"
"Lagarto","104408"
"Laranjeiras","29826"
"Moita Bonita","11335"
"Nossa Senhora do Socorro","183628"
"Poço Redondo","34775"
"Santana do São Francisco","7780"
"Água Fria","16970"
"Arataca","11019"
"Barro Preto","5591"
"Bom Jesus da Lapa","69148"
"Caldeirão Grande","13327"
"Cansanção","34834"
"Capim Grosso","30662"
"Gongogi","7128"
"Itamaraju","64486"
"Itapebi","10259"
"Itapitanga","10313"
"Itororó","20382"
"Jussari","5833"
"Manoel Vitorino","13240"
"Maraú","20570"
"Paramirim","21607"
"Pau Brasil","9831"
"Pojuca","39519"
"Potiraguá","7224"
"Salvador","2872347"
"Santaluz","37348"
"Santo Estêvão","52850"
"Saubara","12043"
"Serrinha","80861"
